VisCent-ContA	VisCent-ContB	VisCent-ContC	VisCent-DefaultA	VisCent-DefaultB	VisCent-DefaultC	VisCent-DorsAttnA	VisCent-DorsAttnB	VisCent-LimbicA	VisCent-LimbicB	VisCent-SalVentAttnA	VisCent-SalVentAttnB	VisCent-SomMotA	VisCent-SomMotB	VisCent-TempPar	VisCent-VisPeri
0.619303	1.720104	0.052243	0.205333	2.467041	1.825052	5.36327	7.552982	0.400577	0.862608	0.513011	0.861258	0.459437	4.54141	2.186364	0.366684
1.724469	0.671717	1.361457	3.604565	0.000446	1.471962	4.350531	0.122812	4.690102	1.526022	2.400645	3.605436	2.01588	18.643146	0.249285	4.321932
6.658439	4.434096	2.115297	2.645448	4.592625	1.93376	0.286778	1.140897	4.62597	0.59357	0.798738	0.536066	1.451114	5.691991	2.373773	2.173149
0.510447	0.310681	0.678486	0.494962	2.501673	1.612875	4.221782	2.366856	0.239798	1.313893	4.579612	0.019492	3.281657	1.996132	5.069025	3.14466
5.702027	1.950113	1.824086	0.805023	0.635237	0.896162	0.798616	0.102516	0.494076	0.061646	0.298906	0.567133	4.975683	1.701311	0.495644	1.487748
1.28701	2.87381	0.901992	1.426951	0.049496	5.060648	5.417495	5.073925	5.611118	1.432938	2.059282	0.998862	5.977305	7.725015	12.336997	3.660944
0.460908	0.514837	2.089345	0.326556	0.690021	3.651394	2.466871	7.323667	0.417503	0.147694	0.548575	1.394183	1.199763	0.213717	4.351723	2.109541
0.470176	2.519614	0.17793	0.720332	0.733802	3.575503	0.504358	1.241512	2.377017	0.928854	3.40312	3.586204	0.74678	0.929853	4.481011	0.962773
0.136905	2.571756	3.481569	4.71157	0.332054	6.359922	1.597068	0.462627	0.582948	4.14648	7.088395	1.540401	4.108706	3.287176	2.532996	8.313659
1.163396	0.218932	0.363163	0.17978	1.645024	8.356284	1.230287	0.610032	0.688174	0.067174	0.354561	0.422192	2.611132	0.893003	3.017437	1.335019
1.827331	0.195691	0.24169	0.573237	0.169763	0.236253	2.537011	1.289714	0.005467	0.558176	0.815294	0.996337	0.231235	0.708612	0.085488	0.563406
0.298756	7.786043	0.367194	0.296506	0.635349	2.321553	5.392672	5.849508	1.791656	4.097846	1.26915	2.012965	5.424132	0.045532	1.143522	2.367793
3.871636	2.450045	1.432823	5.266728	5.10455	8.282854	0.560588	4.533011	6.22991	0.670368	4.442565	1.665569	9.701725	6.349721	9.442108	2.287207
4.978185	6.491645	1.097032	0.061561	1.492446	0.006898	3.050948	2.792588	2.40356	0.101907	1.122682	0.154778	2.197946	2.029844	0.30148	1.226014
4.092075	0.154129	0.935345	0.150839	6.086892	0.884307	0.046955	0.981073	1.618303	2.917563	4.378101	0.886008	1.13657	2.591392	1.774203	1.127488
8.411816	9.780423	11.676535	5.874682	0.87903	2.07236	3.199646	14.671009	7.785947	7.995809	7.453069	8.528183	1.811212	2.491345	1.486873	6.002374
12.234424	9.683553	1.129718	3.759168	5.140305	4.252514	4.360625	0.27659	8.571548	1.474294	1.105718	9.848726	7.197717	0.67781	2.91237	2.785096
3.306122	0.212731	1.115491	2.400426	0.611234	2.792574	0.644834	2.324507	1.137489	2.495002	4.222471	0.647896	3.558554	5.629098	1.071372	7.664512
2.194495	0.866056	0.769504	0.496005	8.353556	8.832103	2.469886	1.877072	2.150632	0.035487	1.514931	0.746987	8.423902	3.307304	3.586824	2.206771
4.464648	0.018459	0.330433	2.736366	1.051343	5.133326	0.17997	0.886657	4.135395	8.008287	0.886528	4.102927	4.097824	4.281028	2.333405	4.627052
0.871661	0.244885	1.003221	3.552413	0.985519	5.919903	5.230218	4.515717	1.339071	2.384578	1.587855	2.304079	0.430959	8.281755	4.013674	1.18547
7.357609	3.287876	0.275194	0.057123	0.426149	0.392572	0.049395	0.47073	5.378672	1.8158	1.915601	0.867172	0.077061	0.108144	1.420619	0.560283
0.33767	1.388619	3.28695	0.296378	2.62438	0.805701	0.305115	1.084997	0.462675	1.131712	0.546055	0.938985	0.413131	2.020589	1.300142	1.480472
3.476499	2.941866	3.52773	1.618154	3.132255	0.524719	1.524587	7.314178	0.020912	3.043138	2.969893	2.21282	1.925959	0.402824	1.24587	6.133164
1.568976	0.270419	2.290046	0.05038	0.087709	1.28463	0.875165	0.742227	2.051611	0.068283	4.646564	2.067849	0.404276	1.16404	1.067226	0.824121
2.195759	4.273072	2.018082	4.72224	12.716143	4.226896	1.278538	0.655252	7.058625	2.347041	3.044482	1.082355	2.393031	1.372326	1.546267	5.814025
0.127447	0.3771	0.440594	1.302133	1.987607	10.737805	2.303616	1.522898	0.668515	0.716014	1.662582	1.847238	0.158737	0.528016	7.51635	0.387654
0.100473	0.050131	2.526427	0.537741	2.468088	2.1197	0.104407	0.032984	1.089066	0.488116	1.326247	1.939411	5.192632	4.388591	0.766662	1.142071
3.403906	2.821626	1.613227	1.029404	2.448939	2.618687	2.689007	2.058717	1.870388	1.200533	1.945785	1.902417	2.889549	1.674311	1.847666	2.017453
0.775689	0.599344	0.083152	0.560818	1.239045	8.041807	0.058058	0.739604	0.363506	0.036227	1.182182	0.159739	0.237733	1.240987	5.132735	1.359084
0.002218	0.328551	2.569007	1.677508	9.429913	5.101205	7.573104	2.059215	0.162305	0.829806	3.797076	3.448651	2.248469	2.491132	5.224759	1.179064
5.54421	6.642328	0.358788	2.333107	1.140155	1.084646	0.19012	0.241239	2.053887	1.518809	3.815996	0.883614	9.383365	2.455509	3.559077	4.369403
0.363885	4.953026	2.274414	0.460793	0.566045	2.445819	0.372273	0.274761	0.218007	0.726836	0.835546	0.099081	5.357502	5.272664	8.33549	3.029636
3.549767	0.87364	0.843404	3.766944	0.738634	1.673066	3.526326	1.942303	1.561814	0.116284	2.542429	2.711017	6.785422	8.955357	3.018463	0.165639
0.093158	0.301326	0.708316	0.301541	1.118085	2.089389	1.140652	1.470364	1.406589	2.656797	0.801383	1.237652	2.300436	1.05988	2.67239	0.240882
1.482959	1.344021	1.960658	0.077006	0.17079	1.859441	5.929132	2.194666	0.050031	1.253456	0.518885	0.190595	0.269245	3.664401	1.304699	0.597442
0.788929	2.433971	2.08406	1.087479	1.742902	0.354009	1.67596	1.602014	2.805204	1.893744	0.433133	0.476602	1.45261	0.370551	0.081331	3.659178
