VisPeri-ContA	VisPeri-ContB	VisPeri-ContC	VisPeri-DefaultA	VisPeri-DefaultB	VisPeri-DefaultC	VisPeri-DorsAttnA	VisPeri-DorsAttnB	VisPeri-LimbicA	VisPeri-LimbicB	VisPeri-SalVentAttnA	VisPeri-SalVentAttnB	VisPeri-SomMotA	VisPeri-SomMotB	VisPeri-TempPar	VisPeri-VisCent
6.568384	41.221013	3.502215	0.118239	7.186252	4.546199	5.43267	1.63719	6.91493	3.520708	0.589687	2.206911	10.011571	0.168254	0.741258	7.084902
6.465279	18.194834	9.089966	6.673059	20.13085	9.174999	2.482828	1.702934	10.070722	5.782426	1.880379	3.592235	19.999006	2.964328	5.897211	4.95185
0.126972	0.170911	1.365431	1.113505	0.075836	2.755594	2.365952	1.820734	0.047557	0.442872	0.227458	4.342639	5.903821	1.10977	1.134063	15.981746
1.762501	2.059608	1.808219	6.853142	4.239463	2.378441	4.295933	5.918131	3.729866	11.392869	5.260287	10.661952	8.109443	0.881895	1.115568	3.411773
0.209509	3.401299	1.887773	1.992519	4.607689	5.945953	0.148649	1.979364	0.153965	1.49521	7.569434	0.504787	12.022493	3.746449	5.776146	3.337532
3.737953	0.575542	3.647667	1.621095	1.398474	4.41317	0.668805	1.606589	1.515022	2.98969	9.705253	5.212434	3.335495	5.825214	0.999002	5.614775
8.60755	11.029927	7.715902	8.399895	5.006867	1.151969	2.279406	3.924025	15.197211	4.578396	0.388924	2.923282	15.461277	1.596878	1.081256	4.808703
7.360385	11.392353	3.999956	5.769634	2.268876	0.56242	8.434155	5.905149	4.368304	9.841569	0.555649	6.146331	10.944841	6.838375	1.229426	7.585548
1.323044	3.361838	0.665048	2.99814	3.858877	0.505975	3.180294	0.265353	17.650351	9.465639	0.10768	1.964308	4.015455	1.073709	0.341284	3.73188
4.725512	4.78956	1.101053	3.933772	15.943145	1.640678	1.901175	3.149426	2.237297	6.420172	0.75456	6.353692	16.459342	2.814769	1.88949	1.113779
0.227362	5.298403	4.05216	3.271965	5.473894	0.693675	0.572955	1.90946	4.067041	6.574458	1.160977	6.011218	12.864375	18.502852	3.639934	1.18673
