ContC-ContA	ContC-ContB	ContC-DefaultA	ContC-DefaultB	ContC-DefaultC	ContC-DorsAttnA	ContC-DorsAttnB	ContC-LimbicA	ContC-LimbicB	ContC-SalVentAttnA	ContC-SalVentAttnB	ContC-SomMotA	ContC-SomMotB	ContC-TempPar	ContC-VisCent	ContC-VisPeri
0.017783	6.179113	0.009031	3.076465	0.465315	9.020898	1.05151	1.135845	2.895653	6.076412	1.877155	1.897145	0.111209	0.164796	0.140949	3.644156
0.928778	1.421633	6.714798	5.031484	1.315972	0.872671	3.108479	2.69417	3.540278	1.128056	1.298521	1.336977	2.120866	6.078648	0.360921	0.808488
0.125572	0.652714	5.641808	0.071652	4.532741	1.960588	5.185505	0.774199	3.537119	0.96628	2.731155	0.495941	1.912927	5.14588	0.97259	0.586136
0.339157	2.503165	9.762277	5.116004	0.646549	1.105836	1.334271	4.322746	6.085914	0.481203	0.186729	0.093173	0.488538	0.556755	1.26623	0.77801
3.598659	11.047285	14.942598	2.727568	0.011237	2.289453	0.779024	4.57426	19.614545	3.003583	6.617306	1.811082	6.301638	0.843977	0.069252	0.487496
5.805999	10.939215	18.320995	22.34876	29.222338	8.640329	4.021963	10.76242	17.015606	13.370232	1.69907	7.835042	1.271143	6.116989	4.263503	11.207738
2.002859	0.09583	0.773049	1.187671	0.388876	0.510826	0.140708	0.032408	3.139169	0.988633	0.877181	1.023654	2.020163	0.027472	3.000715	0.149079
0.318183	3.462429	9.70057	1.299897	1.433412	0.637151	1.785067	5.170532	8.716977	6.998452	5.756706	2.431653	0.994663	2.801709	7.828288	1.297613
1.639698	0.170017	7.134115	5.169129	0.553833	1.372003	0.067019	2.544866	1.689149	1.645482	1.636295	2.062911	1.381229	0.67181	1.817979	0.925352
3.05604	3.446797	12.488455	7.679996	0.142103	3.788006	0.30959	3.405805	4.448726	2.117998	0.711378	1.846091	4.717067	0.713775	1.948167	0.474235
